reviewText,overall,reviewTime,asin,title
"As I am an older gentleman, this was more of a teen type of adventure in my opinion. I really like action movies the best , but this one was more science fiction than anything. If she would have shot the President, it would have been a better ending. I will definitely pass this along to my Grand daughter.",2,"09 14, 2012",B003EYVXV4,Unknown Product
"FOUR DAYS IN SEPTEMBER is a very subtle and understated film concerning, most specifically, the four days in 1969 in which U.S Ambassador to Brazil Charles Burke Elbrick was held hostage by the Student Revolutionaries, the MR-8. This is not an ""edge-of-your-seats Political thriller that is powerful and exciting"" (all of terms that critics use). Instead, this film is told in a quasi-documentarian style that examines the emotions of all that were involved in this kidnapping. The information is excellent and is positively necessary in understanding Brazilian history, but I found the film as a whole very claustrophobic and ultimately dull.",2,"06 9, 2007",6304938713,Four Days in September [VHS]
"There was no fun in this movie.  It is standard action fare without a soul.  It didn't seem like anyone was having fun during this movie.  I thought the whole point is that you're in this dystopian future and you get whisked away on a high-action adventure full of ridiculous scenarios.  No, this is just all that action without the fun.",1,"03 25, 2013",B005LAII3A,Unknown Product
"I've tried to watch this movie several times, but always get bored and quit watching.  It is a sort of fun concept but I think Bill and Ted's Excellent Adventure did a better job with the same theme.",2,"06 30, 2013",1560689994,Time Bandits [VHS]
Special effects were okay but boy the story line and the acting were WEAK!  They went low budget as they tried to rely on acting to create the drama and they missed horribly. Bummer.,2,"02 25, 2014",B00H83EUL2,Unknown Product
"I love every single movie in Friday the 13th. And watching the behind the scenes with all the things they (the mpa) cut it makes me believe that they ruined just about every movie when they cut those scenes. It's such a disappointment because they would've been amazing if they just left it alone. And then I read somewhere that the reason they don't make an uncut version on DVD is because they don't have the footage. They lost it somehow. well if u watch the behind the scenes in this box set they show those scenes, so i don't get why they just don't add them in and sell a great box set/movie of it being uncut.",2,"09 26, 2013",B00DEQQK8S,Unknown Product
"I dont know why so many like this film, I only watched it because Lucio Fulci was written on the cover. Long story short, the film if you didnt see his name wouldnt tell you by watching it the master of gore had anything to do with it. Very boring, nice idea for a plot but not enough for me to care in the end. Watching it you can forget that Lucio directed it, and at times might think Jess Franco directed it instead. Lots of zooms in on the eyes, some nudity, and very little violence. Most sites charge an arm and a leg for this film, I just dont get it.If you liked The Psychic by Fulci than give this a run. This film is more along the lines of his early work without the gore or over the top ideas.",1,"05 21, 2013",B000LC3IWY,Perversion Story
"Stephen King's best book becomes Stanley Kubrick's worst movie. As usual, Kubrick's cinematography is incomparable, but it's almost the only worthwhile thing in this epic mess.The characters are completely unsympathetic. Alcoholic madman Jack Torrance, hired to be winter caretaker of Colorado's (fictional) Overlook Hotel, is plainly crazy from the first moment he appears on camera, so going to the point where he attacks his hapless family with an axe is such a short step that there's nothing surprising about it. His wife, Wendy, is annoyingly simpering, making it hard to care that her life is in danger. His son, Danny, is virtually catatonic throughout the film, and only shows any signs of life toward the end, when menaced by his crazy father - the rest of the time, he comically talks to his finger in a really idiotic voice, which makes no sense at all. The only sympathetic character in the lot is that of the Overlook's cook, Halloran, who exists as nothing more than a plot device to deliver Jack's captive family, and then die a violent death (which is itself rather unconvincing).The film itself is disjointedly chaotic, and deathly slow and overlong. Scene separators are employed that are inconsistent - at one point, a card on the screen tells the audience it is ""December,"" at another point one reads ""10:37 P.M.,"" and a later third one reads ""Thursday."" Since none of these things are in the slightest important to the plot, they are nonsensical to begin with, and all the worse for their lack of any unity. Similarly, act headers such as ""The Interview"" appear for no worthwhile reason, and throw the viewer out of any semblance of continuity of action. And the question of whether the Overlook Hotel is actually haunted by real ghosts or only by one mad alcoholic with an axe is so inconsistently addressed that to even attempt commenting on it would itself sound confused and inane.But worst of all, the film simply isn't scary. It has more unintentional laughs than anything else. And that's when it isn't boring the viewer to sleep. The use of scary-sounding atonal music is almost an overkill telegraph to the audience, screaming, ""This is a scary movie!"" because, if it wasn't there, no one would know the movie wasn't supposed to be a cartoon black-comedy. And it doesn't work, both because it is overused and because it builds, repeatedly, to...nothing at all.This is just an incomprehensible film, no matter how you look at it. Read King's terrific book. And if it's Kubrick you want, watch any of his other films, almost all of which are terrific.",1,"05 25, 2002",0790705141,The Shining [VHS]
"What age group was this made for? I enjoy watching animated films from time to time, and sharing with younger members of my family. This one doesn't cut it, so to speak. I felt the sword play wasn't appropriate for younger children, the story line was silly and contrived, and overall a waste.Some of the so called Fairy Tales, like Jack and the Bean Stalk, do contain violence, or are at least a bit scary. But to make a silly movie, and try to pull all sorts of stories together was a waste of talent.I'm sure some will like it - my advice is to stream it first, before buying to watch multiple times. I for one will probably never watch it again. Sorry I didn't take my own advice, and 'preview' it first.",2,"03 7, 2012",B004LWZW7Y,Unknown Product
".. The picture shown in the cover is only briefly shown in the film and gives a false idea that the content is about wild life or undersea nature. What is shown instead is a footage of people rowing, people surfing, people going to the beach, people rescuing,..., everything too boring. The only good thing in this DVD is the Sting's music. That's why it deserves at least one star. ...",1,"07 18, 2002",6305772800,The Living Sea (Large Format)
